DepLat;DepLon;ArrLat;ArrLon;NbFlights;CO2Intensity
33.50472;126.4931;37.55833;126.7906;88;103.5559295
37.55833;126.7906;33.50472;126.4931;84;99.49242938
-37.67333;144.8433;-33.94611;151.1772;83;79.57131851
-33.94611;151.1772;-37.67333;144.8433;83;82.89508969
4.191944;73.52917;3.47;72.83;77;23.10000092
25.07778;121.2239;22.30889;113.9147;62;113.7395004
33.9425;-118.4072;37.61889;-122.375;57;51.87130225
37.61889;-122.375;33.9425;-118.4072;56;46.095797
-33.94611;151.1772;-27.38333;153.1167;56;51.9942506
-27.38333;153.1167;-33.94611;151.1772;55;48.95690852
22.30889;113.9147;25.07778;121.2239;54;94.4458999
2.745556;101.71;1.350278;103.9944;48;47.70437551
1.350278;103.9944;2.745556;101.71;48;48.62887561
19.08861;72.86806;28.56944;77.11806;47;45.01349986
28.56944;77.11806;19.08861;72.86806;46;44.2493999
-23.62667;-46.65528;-22.83333;-43.25;45;40.43019998
21.22111;105.8072;10.81889;106.6519;44;55.26170015
41.97861;-87.90472;40.76667;-73.86667;44;36.91260004
10.81889;106.6519;21.22111;105.8072;44;49.45380008
40.76667;-73.86667;41.97861;-87.90472;42;35.33590007
-22.83333;-43.25;-23.62667;-46.65528;42;37.7234
-7.379722;112.7869;-6.125556;106.6558;42;39.84661978
-27.38333;153.1167;-37.67333;144.8433;41;37.29463166
-6.125556;106.6558;1.350278;103.9944;41;53.42853183
-6.125556;106.6558;-7.379722;112.7869;41;39.05859387
-37.67333;144.8433;-27.38333;153.1167;41;36.88828963
40.63333;-73.78333;33.9425;-118.4072;40;46.54840076
6.167222;-75.59055;4.703056;-74.13834;39;35.28339982
1.350278;103.9944;-6.125556;106.6558;38;48.2710318
33.58333;130.45;35.55222;139.7797;37;46.57269979
33.9425;-118.4072;40.63333;-73.78333;37;42.5109005
31.2;121.3411;40.06333;116.5844;37;63.14659989
10.3075;125.9794;14.51667;121.0167;36;34.73849976
22.30889;113.9147;31.14333;121.8053;36;46.92630005
21.67944;39.15667;24.95778;46.69889;36;44.57789969
40.06333;116.5844;31.2;121.3411;36;61.51399994
18.76833;98.96278;13.9125;100.6067;34;30.93923986
21.33333;-157.9333;20.89861;-156.4306;34;27.65374935
14.51667;121.0167;10.3075;125.9794;34;32.2214998
20.89861;-156.4306;21.33333;-157.9333;34;28.38864934
60.19389;11.10028;63.45778;10.93611;34;29.46782002
35.55222;139.7797;33.58333;130.45;33;39.46599984
24.95778;46.69889;21.67944;39.15667;33;39.35269964
63.45778;10.93611;60.19389;11.10028;33;28.50532004
4.703056;-74.13834;6.167222;-75.59055;32;28.84199977
30.57861;103.9472;40.06333;116.5844;32;41.71540034
13.9125;100.6067;18.76833;98.96278;32;29.10829586
36.08333;-115.1667;33.9425;-118.4072;32;26.36549008
-37.67333;144.8433;-34.945;138.5306;32;27.94512168
19.43639;-99.07222;21.45472;-103.3011;32;28.99118462
-28.18111;153.5;-33.94611;151.1772;32;28.98099977
40.06333;116.5844;30.57861;103.9472;32;41.34000039
-33.94611;151.1772;-28.18111;153.5;32;29.39309973
49.19389;-123.1833;51.11389;-114.0203;32;27.77729988
60.3;5.216667;60.19389;11.10028;31;26.75472006
4.703056;-74.13834;3.4575;-76.49639;31;28.20399967
3.4575;-76.49639;4.703056;-74.13834;31;27.22659972
22.30889;113.9147;1.350278;103.9944;31;52.72009957
60.19389;11.10028;60.3;5.216667;31;26.06413507
60.19389;11.10028;58.87667;5.637778;31;25.92983001
31.14333;121.8053;22.30889;113.9147;31;41.56219995
58.87667;5.637778;60.19389;11.10028;31;26.17172998
41.3;2.083333;40.46667;-3.566667;30;28.74589992
12.96667;77.6;19.08861;72.86806;30;28.54684383
42.36306;-71;40.76667;-73.86667;30;24.36099946
23.3925;113.2989;31.2;121.3411;30;39.64559972
-6.125556;106.6558;-8.748056;115.1672;30;30.1392079
25.26111;51.565;25.25;55.33333;30;41.7463001
25.25;55.33333;25.26111;51.565;30;42.0078001
40.06333;116.5844;22.55;113.9167;30;43.15487576
